prey growth rate,0.8
prey death rate,0.2
predator growth rate,0.0004
predator death,0.2
x,500
y,20
n,90000
t (days),180

timestep,x,y
1.34,1379.68,24.3543
1.342,1381.76,24.3715
1.344,1383.84,24.3887
1.346,1385.92,24.406
1.348,1388,24.4233
1.35,1390.09,24.4407
1.352,1392.18,24.4581
1.354,1394.27,24.4756
1.356,1396.37,24.4931
1.358,1398.46,24.5107
1.36,1400.57,24.5284
1.362,1402.67,24.5461
1.364,1404.78,24.5638
1.366,1406.89,24.5816
1.368,1409,24.5995
1.37,1411.12,24.6174
1.372,1413.24,24.6354
1.374,1415.37,24.6534
1.376,1417.49,24.6715
1.378,1419.62,24.6896
1.38,1421.75,24.7078
1.382,1423.89,24.7261
1.384,1426.03,24.7444
1.386,1428.17,24.7627
1.388,1430.32,24.7811
1.39,1432.46,24.7996
1.392,1434.62,24.8181
1.394,1436.77,24.8367
1.396,1438.93,24.8554
1.398,1441.09,24.8741
1.4,1443.25,24.8928
1.402,1445.42,24.9116
1.404,1447.59,24.9305
1.406,1449.76,24.9494
1.408,1451.94,24.9684
1.41,1454.12,24.9875
1.412,1456.3,25.0066
1.414,1458.49,25.0257
1.416,1460.68,25.0449
1.418,1462.87,25.0642
1.42,1465.07,25.0836
1.422,1467.26,25.1029
1.424,1469.47,25.1224
1.426,1471.67,25.1419
1.428,1473.88,25.1615
1.43,1476.09,25.1811
1.432,1478.31,25.2008
1.434,1480.52,25.2206
1.436,1482.74,25.2404
1.438,1484.97,25.2603
1.44,1487.2,25.2802
1.442,1489.43,25.3002
1.444,1491.66,25.3202
1.446,1493.9,25.3404
1.448,1496.14,25.3605
1.45,1498.38,25.3808
1.452,1500.63,25.4011
1.454,1502.88,25.4214
1.456,1505.13,25.4419
1.458,1507.39,25.4624
1.46,1509.65,25.4829
1.462,1511.91,25.5035
1.464,1514.18,25.5242
1.466,1516.45,25.5449
1.468,1518.72,25.5658
1.47,1521,25.5866
1.472,1523.28,25.6076
1.474,1525.56,25.6285
1.476,1527.85,25.6496
1.478,1530.14,25.6707
1.48,1532.43,25.6919
1.482,1534.73,25.7132
1.484,1537.02,25.7345
1.486,1539.33,25.7559
1.488,1541.63,25.7773
1.49,1543.94,25.7988
1.492,1546.26,25.8204
1.494,1548.57,25.8421
1.496,1550.89,25.8638
1.498,1553.21,25.8855
1.5,1555.54,25.9074
1.502,1557.87,25.9293
1.504,1560.2,25.9513
1.506,1562.54,25.9733
1.508,1564.88,25.9954
1.51,1567.22,26.0176
1.512,1569.57,26.0399
1.514,1571.92,26.0622
1.516,1574.27,26.0846
1.518,1576.62,26.107
1.52,1578.98,26.1295
1.522,1581.35,26.1521
1.524,1583.71,26.1748
1.526,1586.08,26.1975
1.528,1588.46,26.2203
1.53,1590.83,26.2432
1.532,1593.21,26.2661
1.534,1595.6,26.2891
1.536,1597.98,26.3122
1.538,1600.37,26.3353
1.54,1602.77,26.3585
1.542,1605.16,26.3818
1.544,1607.57,26.4052
1.546,1609.97,26.4286
1.548,1612.38,26.4521
1.55,1614.79,26.4757
1.552,1617.2,26.4994
1.554,1619.62,26.5231
1.556,1622.04,26.5469
1.558,1624.47,26.5707
1.56,1626.89,26.5947
1.562,1629.33,26.6187
1.564,1631.76,26.6428
1.566,1634.2,26.6669
1.568,1636.64,26.6912
1.57,1639.09,26.7155
1.572,1641.54,26.7399
1.574,1643.99,26.7643
1.576,1646.45,26.7888
1.578,1648.91,26.8135
1.58,1651.37,26.8381
1.582,1653.83,26.8629
1.584,1656.31,26.8877
1.586,1658.78,26.9126
1.588,1661.26,26.9376
1.59,1663.74,26.9627
1.592,1666.22,26.9878
1.594,1668.71,27.013
1.596,1671.2,27.0383
1.598,1673.7,27.0637
1.6,1676.19,27.0892
1.602,1678.7,27.1147
1.604,1681.2,27.1403
1.606,1683.71,27.166
1.608,1686.22,27.1918
1.61,1688.74,27.2176
1.612,1691.26,27.2435
1.614,1693.78,27.2695
1.616,1696.31,27.2956
1.618,1698.84,27.3218
1.62,1701.38,27.348
1.622,1703.91,27.3743
1.624,1706.45,27.4007
1.626,1709,27.4272
1.628,1711.55,27.4538
1.63,1714.1,27.4805
1.632,1716.66,27.5072
1.634,1719.22,27.534
1.636,1721.78,27.5609
1.638,1724.35,27.5879
1.64,1726.92,27.6149
1.642,1729.49,27.6421
1.644,1732.07,27.6693
1.646,1734.65,27.6966
1.648,1737.24,27.724
1.65,1739.82,27.7515
1.652,1742.42,27.7791
1.654,1745.01,27.8067
1.656,1747.61,27.8345
1.658,1750.22,27.8623
1.66,1752.82,27.8902
1.662,1755.43,27.9182
1.664,1758.05,27.9463
1.666,1760.67,27.9745
1.668,1763.29,28.0027
1.67,1765.91,28.0311
1.672,1768.54,28.0595
1.674,1771.18,28.088
1.676,1773.81,28.1166
1.678,1776.45,28.1453
1.68,1779.1,28.1741
1.682,1781.75,28.203
1.684,1784.4,28.2319
1.686,1787.05,28.261
1.688,1789.71,28.2901
1.69,1792.37,28.3194
1.692,1795.04,28.3487
1.694,1797.71,28.3781
1.696,1800.39,28.4076
1.698,1803.06,28.4372
1.7,1805.75,28.4669
1.702,1808.43,28.4967
1.704,1811.12,28.5266
1.706,1813.81,28.5565
1.708,1816.51,28.5866
1.71,1819.21,28.6167
1.712,1821.92,28.647
1.714,1824.62,28.6773
1.716,1827.34,28.7078
1.718,1830.05,28.7383
1.72,1832.77,28.7689
1.722,1835.49,28.7997
1.724,1838.22,28.8305
1.726,1840.95,28.8614
1.728,1843.69,28.8924
1.73,1846.43,28.9235
1.732,1849.17,28.9547
1.734,1851.92,28.986
1.736,1854.67,29.0174
1.738,1857.42,29.0489
1.74,1860.18,29.0805
1.742,1862.94,29.1122
1.744,1865.71,29.144
1.746,1868.47,29.1759
1.748,1871.25,29.2079
1.75,1874.03,29.2399
1.752,1876.81,29.2721
1.754,1879.59,29.3044
1.756,1882.38,29.3368
1.758,1885.17,29.3693
1.76,1887.97,29.4019
1.762,1890.77,29.4346
1.764,1893.58,29.4674
1.766,1896.38,29.5003
1.768,1899.2,29.5333
1.77,1902.01,29.5664
1.772,1904.83,29.5996
1.774,1907.66,29.633
1.776,1910.49,29.6664
1.778,1913.32,29.6999
1.78,1916.15,29.7336
1.782,1918.99,29.7673
1.784,1921.84,29.8011
1.786,1924.68,29.8351
1.788,1927.54,29.8691
1.79,1930.39,29.9033
1.792,1933.25,29.9376
1.794,1936.12,29.972
1.796,1938.98,30.0065
1.798,1941.86,30.041
