prey 1 growth rate,0.5
prey 1 death rate,0.0006
prey 2 growth rate,0.4
prey 2 death rate,0.0005
predator growth rate,0.0008
predator death rate,0.42
x1,500
x2,200
y,20
n,10000
t (days),100

timestep,x1,x2,y
6.95,17.0527,2.23929,2447.05
6.96,16.8889,2.20082,2437.17
6.97,16.7276,2.16305,2427.32
6.98,16.5689,2.12598,2417.51
6.99,16.4126,2.0896,2407.73
7,16.2588,2.05388,2398
7.01,16.1074,2.01882,2388.29
7.02,15.9582,1.9844,2378.63
7.03,15.8114,1.95061,2369
7.04,15.6668,1.91743,2359.4
7.05,15.5245,1.88485,2349.84
7.06,15.3843,1.85287,2340.32
7.07,15.2463,1.82146,2330.83
7.08,15.1103,1.79062,2321.37
7.09,14.9764,1.76033,2311.95
7.1,14.8446,1.73059,2302.57
7.11,14.7147,1.70138,2293.22
7.12,14.5868,1.67269,2283.91
7.13,14.4608,1.64451,2274.63
7.14,14.3367,1.61683,2265.39
7.15,14.2144,1.58965,2256.18
7.16,14.094,1.56294,2247.01
7.17,13.9753,1.53671,2237.87
7.18,13.8584,1.51094,2228.76
7.19,13.7432,1.48562,2219.7
7.2,13.6298,1.46075,2210.66
7.21,13.518,1.43631,2201.66
7.22,13.4078,1.41229,2192.69
7.23,13.2992,1.3887,2183.76
7.24,13.1923,1.36551,2174.86
7.25,13.0869,1.34273,2166
7.26,12.983,1.32034,2157.17
7.27,12.8806,1.29834,2148.37
7.28,12.7797,1.27672,2139.61
7.29,12.6803,1.25547,2130.88
7.3,12.5823,1.23458,2122.18
7.31,12.4857,1.21405,2113.52
7.32,12.3904,1.19387,2104.89
7.33,12.2966,1.17404,2096.3
7.34,12.2041,1.15454,2087.74
7.35,12.1129,1.13538,2079.21
7.36,12.023,1.11653,2070.71
7.37,11.9343,1.09801,2062.25
7.38,11.847,1.0798,2053.82
7.39,11.7608,1.06189,2045.42
7.4,11.6759,1.04429,2037.06
7.41,11.5922,1.02698,2028.72
7.42,11.5096,1.00995,2020.42
7.43,11.4282,0.993218,2012.16
7.44,11.3479,0.976759,2003.92
7.45,11.2688,0.960574,1995.72
7.46,11.1907,0.944658,1987.55
7.47,11.1138,0.929004,1979.41
7.48,11.0379,0.91361,1971.3
7.49,10.9631,0.898468,1963.23
7.5,10.8892,0.883576,1955.18
7.51,10.8165,0.868928,1947.17
7.52,10.7447,0.85452,1939.19
7.53,10.6739,0.840348,1931.24
7.54,10.604,0.826407,1923.32
7.55,10.5352,0.812693,1915.44
7.56,10.4672,0.799201,1907.58
7.57,10.4002,0.785929,1899.76
