prey growth rate,0.5
prey death rate,0.002
predator 1 growth rate,0.00025
predator 1 death rate,0.11
predator 2 growth rate,0.00023
predator 2 death rate,0.1
x,500
y,100
z,100
n,20000
t (days),500

timestep,x,y,z
15.525,282.191,141.657,140.356
15.55,281.742,141.517,140.233
15.575,281.297,141.377,140.109
15.6,280.856,141.237,139.985
15.625,280.42,141.096,139.861
15.65,279.988,140.955,139.737
15.675,279.561,140.814,139.613
15.7,279.138,140.673,139.488
15.725,278.719,140.532,139.363
15.75,278.304,140.39,139.238
15.775,277.894,140.248,139.112
15.8,277.488,140.106,138.987
15.825,277.087,139.963,138.861
15.85,276.69,139.821,138.735
15.875,276.297,139.678,138.609
15.9,275.908,139.535,138.482
15.925,275.524,139.392,138.356
15.95,275.144,139.248,138.229
15.975,274.768,139.105,138.102
16,274.396,138.961,137.975
16.025,274.029,138.817,137.847
16.05,273.665,138.673,137.72
16.075,273.306,138.529,137.592
16.1,272.952,138.384,137.464
16.125,272.601,138.24,137.336
16.15,272.254,138.095,137.208
16.175,271.912,137.95,137.08
16.2,271.574,137.805,136.951
16.225,271.24,137.66,136.823
16.25,270.91,137.515,136.694
16.275,270.584,137.369,136.565
16.3,270.262,137.224,136.436
16.325,269.944,137.078,136.307
16.35,269.631,136.932,136.178
16.375,269.321,136.787,136.049
16.4,269.016,136.641,135.919
16.425,268.714,136.495,135.789
16.45,268.417,136.348,135.66
16.475,268.124,136.202,135.53
16.5,267.834,136.056,135.4
16.525,267.549,135.909,135.27
16.55,267.268,135.763,135.14
16.575,266.99,135.616,135.01
16.6,266.717,135.469,134.879
16.625,266.448,135.323,134.749
16.65,266.182,135.176,134.618
16.675,265.921,135.029,134.488
16.7,265.663,134.882,134.357
16.725,265.41,134.735,134.227
16.75,265.16,134.588,134.096
16.775,264.914,134.441,133.965
16.8,264.672,134.294,133.834
16.825,264.434,134.147,133.703
16.85,264.2,133.999,133.572
16.875,263.97,133.852,133.441
16.9,263.744,133.705,133.31
16.925,263.521,133.558,133.179
16.95,263.303,133.41,133.048
16.975,263.088,133.263,132.917
17,262.877,133.116,132.785
17.025,262.67,132.968,132.654
17.05,262.467,132.821,132.523
17.075,262.267,132.673,132.391
17.1,262.072,132.526,132.26
17.125,261.88,132.379,132.129
17.15,261.692,132.231,131.997
17.175,261.507,132.084,131.866
17.2,261.327,131.937,131.735
17.225,261.15,131.789,131.603
17.25,260.977,131.642,131.472
17.275,260.808,131.495,131.34
17.3,260.642,131.347,131.209
17.325,260.481,131.2,131.078
17.35,260.323,131.053,130.946
17.375,260.168,130.906,130.815
17.4,260.018,130.759,130.684
17.425,259.871,130.612,130.552
17.45,259.727,130.465,130.421
17.475,259.588,130.318,130.29
17.5,259.452,130.171,130.159
17.525,259.32,130.024,130.027
17.55,259.191,129.877,129.896
17.575,259.067,129.73,129.765
17.6,258.945,129.584,129.634
17.625,258.828,129.437,129.503
17.65,258.714,129.291,129.372
17.675,258.604,129.144,129.241
17.7,258.497,128.998,129.11
17.725,258.394,128.852,128.979
17.75,258.295,128.705,128.848
17.775,258.199,128.559,128.718
17.8,258.107,128.413,128.587
17.825,258.018,128.267,128.456
17.85,257.933,128.121,128.326
